Name,Team,IP,EV,LA
Dellin Betances,NYY,0.2,,
Jedd Gyorko,STL,0.1,,
Kyle Farmer,CIN,1.1,,
Jose Castillo,SDP,0.2,,
Andrew Vasquez,MIN,0,,
Nick Martini,OAK,1,65.8,35.5
Taylor Davis,CHC,1,76.9,-1
Pedro Avila,SDP,5.1,79.1,13
Sandy Baez,DET,1,79.2,14.8
Ian Desmond,COL,1,79.3,30.3
Ricardo Pinto,TBR,2.1,80.4,3.4
Michael King,NYY,2,81.3,18.9
Tommy Hunter,PHI,5.1,81.6,18.2
Enderson Franco,SFG,5.1,82,25.6
Alex Avila,ARI,2,82.2,2.3
Jacob Stallings,PIT,1,82.5,37.3
Hoby Milner,TBR,3.2,82.8,20.8
Brent Suter,MIL,18.1,82.9,11.4
Aaron Loup,SDP,3.1,83.9,-2.1
Ryan O'Rourke,NYM,1.1,83.9,59
Julio Urias,LAD,79.2,84.1,17.6
Mike Freeman,CLE,2,84.1,9.6
Brady Lail,NYY,2.2,84.2,2.6
A.J. Reed,CHW,1,84.3,26.3
Tyler Rogers,SFG,17.2,84.4,0.6
Bryan Holaday,MIA,0.1,84.4,-5
Dillon Maples,CHC,11.2,84.7,5
Steve Cishek,CHC,64,84.8,11.4
Jimmy Cordero,- - -,37.1,84.8,2.8
Richard Urena,TOR,1,84.8,4.4
Sergio Romo,- - -,60.1,84.9,19.6
Ryan Yarbrough,TBR,141.2,84.9,15.2
Luis Avilan,NYM,32,84.9,8.9
Tyler Olson,CLE,30.2,84.9,11.8
JB Shuck,PIT,1,85,-4.5
Chasen Shreve,STL,2,85.2,26.8
Nathan Karns,BAL,5.1,85.2,-7.9
Justin Wilson,NYM,39,85.3,6.3
Nick Goody,CLE,40.2,85.3,27.4
Adam Ottavino,NYY,66.1,85.3,14.4
Zac Rosscup,- - -,18,85.3,3.3
Pat Venditte,SFG,3.1,85.4,24.7
Sean Gilmartin,BAL,2.1,85.4,23.4
Kyle Zimmer,KCR,18.1,85.4,11.4
Darren O'Day,ATL,5.1,85.5,27.1
Matt Bowman,CIN,32,85.5,6
Michael Lorenzen,CIN,83.1,85.5,11.7
Mike Brosseau,TBR,4,85.5,10.2
Jason Adam,TOR,21.2,85.6,24.2
Alex Claudio,MIL,62,85.6,3.2
Anthony Kay,TOR,14,85.6,6.8
Brusdar Graterol,MIN,9.2,85.7,4.6
Edubray Ramos,PHI,15,85.7,21.8
Tyler Clippard,CLE,62,85.8,23
Donnie Hart,- - -,7.2,85.8,-5.4
Francisco Liriano,PIT,70,85.8,9.4
Xavier Cedeno,CHC,2,85.8,15.7
Luis Severino,NYY,12,85.8,16.2
Danny Hultzen,CHC,3.1,85.9,2.1
Jose De Leon,TBR,4,85.9,8.9
Brad Boxberger,KCR,26.2,85.9,15.3
Cole Irvin,PHI,41.2,85.9,15.5
Dillon Tate,BAL,21,86,2.5
A.J. Puk,OAK,11.1,86,11.5
Jared Walsh,LAA,5,86,-9.1
Robert Gsellman,NYM,63.2,86,12.6
Blaine Hardy,DET,44.1,86,12.2
Luke Maile,TOR,2,86.1,21.5
Jose Alvarez,PHI,59,86.1,7.7
Kenta Maeda,LAD,153.2,86.1,15.4
Brandon Woodruff,MIL,121.2,86.1,12.4
David Hale,NYY,37.2,86.1,8.6
Johnny Cueto,SFG,16,86.2,4.7
Jonathan Hernandez,TEX,16.2,86.2,6.1
Roberto Osuna,HOU,65,86.2,14.2
Deolis Guerra,MIL,0.2,86.2,22.5
Martin Perez,MIN,165.1,86.2,9.5
Seranthony Dominguez,PHI,24.2,86.3,5.6
Kenley Jansen,LAD,63,86.3,19.1
Tim Collins,CHC,8.2,86.3,14.3
Aaron Wilkerson,MIL,16,86.4,18.1
Emmanuel Clase,TEX,23.1,86.4,3.3
Paul Blackburn,OAK,11,86.4,1.3
Devin Williams,MIL,13.2,86.4,12.4
Jeremy Hellickson,WSN,39,86.4,15.8
Dennis Santana,LAD,5,86.4,6.5
Tyler Webb,STL,55,86.4,15.4
Mike Clevinger,CLE,126,86.4,13.1
Eduardo Rodriguez,BOS,203.1,86.4,9.2
Chaz Roe,TBR,51,86.5,12.3
Jack Flaherty,STL,196.1,86.5,15.2
James Karinchak,CLE,5.1,86.5,13.4
Josh Taylor,BOS,47.1,86.5,13.2
Kyle Hendricks,CHC,177,86.5,14.1
Aaron Slegers,TBR,3,86.6,22.1
Trevor Rosenthal,- - -,15.1,86.6,10.9
Ryan Pressly,HOU,54.1,86.6,6.8
Hyun-Jin Ryu,LAD,182.2,86.6,7.2
Darwinzon Hernandez,BOS,30.1,86.6,7.4
Jacob deGrom,NYM,204,86.6,13.4
Mike Morin,- - -,50.2,86.6,14.5
Brock Burke,TEX,26.2,86.6,8.6
Matt Wotherspoon,BAL,4.2,86.7,13.6
Adrian Houser,MIL,111.1,86.7,5.3
Jimmie Sherfy,ARI,18.1,86.7,23.4
Kelvin Herrera,CHW,51.1,86.7,18.1
Rich Hill,LAD,58.2,86.8,10.5
Corey Oswalt,NYM,6.2,86.8,11.2
Kyle Crick,PIT,49,86.8,14.4
Nick Ramirez,DET,79.2,86.8,11.4
Garrett Richards,SDP,8.2,86.8,7.7
Phil Maton,- - -,36.2,86.8,11.6
Noah Syndergaard,NYM,197.2,86.8,9.8
Dan Altavilla,SEA,14.2,86.8,11.5
Taylor Cole,LAA,51.2,86.8,7.1
Dustin May,LAD,34.2,86.8,8.2
Evan Marshall,CHW,50.2,86.8,10
Aroldis Chapman,NYY,57,86.9,12.3
Junior Guerra,MIL,83.2,86.9,14.3
Clay Buchholz,TOR,59,86.9,10.9
Lou Trivino,OAK,60,86.9,16
Charlie Morton,TBR,194.2,86.9,9.2
Jimmy Herget,CIN,6.1,86.9,23.5
Kirby Yates,SDP,60.2,86.9,11
Rogelio Armenteros,HOU,18,86.9,15.3
A.J. Cole,CLE,26,86.9,20.6
Corey Kluber,CLE,35.2,86.9,13.7
Mike Minor,TEX,208.1,86.9,16.5
John Schreiber,DET,13,86.9,14.6
Elieser Hernandez,MIA,82.1,86.9,21.4
Andrew Kittredge,TBR,49.2,86.9,6.3
Oliver Perez,CLE,40.2,86.9,10.7
CC Sabathia,NYY,107.1,87,14.9
Jose Urquidy,HOU,41,87,17.8
Aaron Civale,CLE,57.2,87,15
Zac Gallen,- - -,80,87,13.7
Jeremy Jeffress,MIL,52,87,7.1
Jose Berrios,MIN,200.1,87,13.9
Ben Zobrist,CHC,1,87,40.5
Craig Stammen,SDP,82,87,5.5
Matt Albers,MIL,59.2,87,8
Anibal Sanchez,WSN,166,87,14.7
Frankie Montas,OAK,96,87,9.9
Jon Edwards,CLE,8,87,12
John Gant,STL,66.1,87,9.6
Zack Wheeler,NYM,195.1,87,12.3
Alex Gordon,KCR,2.1,87,17.7
Miguel Castro,BAL,73.1,87,9.3
Jordan Hicks,STL,28.2,87,-1.6
Wei-Chung Wang,- - -,31,87.1,17.1
Jose Leclerc,TEX,68.2,87.1,19
Jimmy Nelson,MIL,22,87.1,11.8
Conner Menez,SFG,17,87.1,25.3
Carlos Martinez,STL,48.1,87.1,7.1
Hector Rondon,HOU,60.2,87.1,8.1
Tim Mayza,TOR,51.1,87.2,6.1
Wandy Peralta,- - -,39.2,87.2,6.9
Yimi Garcia,LAD,62.1,87.2,23.4
Luis Castillo,CIN,190.2,87.2,5.8
Hunter Wood,- - -,45.1,87.2,19.7
Mitch Keller,PIT,48,87.2,10.8
Justin Verlander,HOU,223,87.2,18.5
Tony Watson,SFG,54,87.2,11.2
Felipe Vazquez,PIT,60,87.2,14.1
Jorge Alcala,MIN,1.2,87.2,37.6
Tommy Milone,SEA,111.2,87.2,16.5
Caleb Ferguson,LAD,44.2,87.3,14.9
J.B. Wendelken,OAK,32.2,87.3,18.4
Sandy Alcantara,MIA,197.1,87.3,11.7
