Name,Team,ERA,IP,TBF,HR,BB,HBP,SO
Xavier Cedeno,CHC,0,2,13,0,3,0,1
Tommy Hunter,PHI,0,5.1,18,0,0,0,5
Matt Moore,DET,0,10,33,0,1,0,9
Charlie Culberson,ATL,0,2,10,0,2,0,1
Russell Martin,LAD,0,4,13,0,0,0,2
Pablo Sandoval,SFG,0,1,3,0,0,1,0
Jesus Sucre,BAL,0,1,3,0,0,0,0
Ian Kinsler,SDP,0,1,6,0,2,1,0
Dellin Betances,NYY,0,0.2,2,0,0,0,2
Sean Rodriguez,PHI,0,1.1,4,0,0,0,1
JB Shuck,PIT,0,1,5,0,1,0,0
Ian Desmond,COL,0,1,4,0,0,0,0
Caleb Joseph,ARI,0,1.1,4,0,0,0,0
Ben Zobrist,CHC,0,1,5,0,2,0,1
Max Stassi,HOU,0,0.1,1,0,0,0,0
Aaron Loup,SDP,0,3.1,14,0,1,1,5
Jedd Gyorko,STL,0,0.1,1,0,0,0,1
Ryan O'Rourke,NYM,0,1.1,6,0,3,0,1
Bryan Holaday,MIA,0,0.1,1,0,0,0,0
Taijuan Walker,ARI,0,1,4,0,0,0,1
Nick Martini,OAK,0,1,5,0,2,0,1
Nathan Karns,BAL,0,5.1,25,0,3,1,5
Taylor Davis,CHC,0,1,6,0,0,0,0
Danny Hultzen,CHC,0,3.1,18,0,2,1,5
Luke Maile,TOR,0,2,8,0,0,1,3
Jose Peraza,CIN,0,1.1,4,0,0,0,0
Jacob Stallings,PIT,0,1,3,0,0,0,0
Kevin Plawecki,CLE,0,2,6,0,0,0,0
Jose Rondon,CHW,0,1,5,0,0,0,0
Daniel Robertson,TBR,0,1,3,0,0,0,0
Matt Ramsey,LAA,0,1,3,0,0,0,1
Kyle Farmer,CIN,0,1.1,5,0,0,0,0
Cole Sulser,TBR,0,7.1,29,0,3,0,9
Donnie Hart,- - -,0,7.2,29,0,4,0,3
Chris Ellis,KCR,0,1,5,0,1,0,0
A.J. Reed,CHW,0,1,3,0,0,0,0
Jose Castillo,SDP,0,0.2,4,0,1,1,2
Art Warren,SEA,0,5.1,21,0,2,0,5
Jorge Alcala,MIN,0,1.2,7,0,1,0,1
Michael King,NYY,0,2,9,0,0,0,1
Brent Suter,MIL,0.49,18.1,65,1,1,0,15
Tyler Rogers,SFG,1.02,17.2,70,0,3,1,16
Bryan Abreu,HOU,1.04,8.2,32,0,3,0,13
Keynan Middleton,LAA,1.17,7.2,33,0,7,0,6
Kirby Yates,SDP,1.19,60.2,243,2,13,7,101
Sean Manaea,OAK,1.21,29.2,109,3,7,2,30
Ben Heller,NYY,1.23,7.1,28,1,3,0,9
Jacob Webb,ATL,1.39,32.1,131,4,12,1,28
Hunter Harvey,BAL,1.42,6.1,26,1,4,0,11
Cody Reed,CIN,1.42,6.1,25,0,1,0,7
Kevin Ginkel,ARI,1.48,24.1,96,2,9,0,28
Luis Severino,NYY,1.5,12,48,0,6,1,17
Jesus Luzardo,OAK,1.5,12,46,1,3,1,16
Will Harris,HOU,1.5,60,229,6,14,0,62
Matt Shoemaker,TOR,1.57,28.2,108,3,9,1,24
Randy Dobnak,MIN,1.59,28.1,118,1,5,3,23
Felipe Vazquez,PIT,1.65,60,236,5,13,4,90
Darren O'Day,ATL,1.69,5.1,21,0,1,1,6
Pedro Avila,SDP,1.69,5.1,23,0,2,1,5
James Karinchak,CLE,1.69,5.1,22,0,1,0,8
James Pazos,COL,1.74,10.1,39,1,4,0,10
Tyler Glasnow,TBR,1.78,60.2,230,4,14,0,76
Liam Hendriks,OAK,1.8,85,332,5,21,2,124
Joe Smith,HOU,1.8,25,96,2,5,0,22
Jared Walsh,LAA,1.8,5,23,0,6,0,5
Ken Giles,TOR,1.87,53,208,5,17,0,83
Brandon Workman,BOS,1.88,71.2,286,1,45,2,104
Adam Ottavino,NYY,1.9,66.1,283,5,40,2,88
Zack Britton,NYY,1.91,61.1,245,3,32,1,53
Jeremy Walker,ATL,1.93,9.1,38,0,4,0,6
Keone Kela,PIT,2.12,29.2,119,3,11,1,33
Aaron Bummer,CHW,2.13,67.2,262,4,24,3,60
Casey Sadler,- - -,2.14,46.1,194,5,13,4,31
James Hoyt,CLE,2.16,8.1,32,2,2,0,10
Aroldis Chapman,NYY,2.21,57,235,3,25,1,85
Arodys Vizcaino,ATL,2.25,4,17,1,3,0,6
Jose De Leon,TBR,2.25,4,21,0,3,2,7
Scott Oberg,COL,2.25,56,223,5,23,0,58
Jon Edwards,CLE,2.25,8,36,2,6,2,5
Shane Greene,- - -,2.3,62.2,252,8,17,3,64
Giovanny Gallegos,STL,2.31,74,279,9,16,3,93
Emmanuel Clase,TEX,2.31,23.1,94,2,6,1,21
Emilio Pagan,TBR,2.31,70,267,12,13,1,96
Eric Yardley,SDP,2.31,11.2,52,1,3,1,7
Hyun-Jin Ryu,LAD,2.32,182.2,723,17,24,4,163
Ryan Pressly,HOU,2.32,54.1,211,6,12,0,72
Aaron Civale,CLE,2.34,57.2,227,4,16,1,46
Sam Tuivailala,SEA,2.35,23,94,1,11,2,27
Ryan Eades,- - -,2.38,11.1,50,2,6,1,10
Jacob deGrom,NYM,2.43,204,804,19,44,7,255
Rowan Wick,CHC,2.43,33.1,140,0,16,3,35
Rich Hill,LAD,2.45,58.2,242,10,18,4,72
Daniel Hudson,- - -,2.47,73,304,8,27,4,71
Hansel Robles,LAA,2.48,72.2,283,6,16,0,75
Rafael Montero,TEX,2.48,29,113,5,5,2,34
Julio Urias,LAD,2.49,79.2,326,7,27,5,85
Evan Marshall,CHW,2.49,50.2,209,5,24,0,41
Tyler Duffey,MIN,2.5,57.2,238,8,14,3,82
Gerrit Cole,HOU,2.5,212.1,817,29,48,3,326
Justin Wilson,NYM,2.54,39,166,4,19,2,44
Justin Verlander,HOU,2.58,223,847,36,42,6,300
Taylor Rogers,MIN,2.61,69,278,8,11,6,90
Josh Hader,MIL,2.62,75.2,289,15,20,4,138
Frankie Montas,OAK,2.63,96,394,8,23,4,103
Roberto Osuna,HOU,2.63,65,253,8,12,2,73
Connor Sadzeck,SEA,2.66,23.2,107,3,15,2,27
Zack Littell,MIN,2.68,37,146,4,9,0,32
Mike Soroka,ATL,2.68,174.2,701,14,41,7,142
Brandon Kintzler,CHC,2.68,57,227,5,13,4,48
Justin Dunn,SEA,2.7,6.2,30,0,9,0,5
Seth Lugo,NYM,2.7,80,314,8,16,5,104
Luke Farrell,TEX,2.7,13.1,48,3,3,0,12
Yusmeiro Petit,OAK,2.71,83,308,11,10,0,71
Mike Clevinger,CLE,2.71,126,499,10,37,2,169
Jose Rodriguez,LAA,2.75,19.2,84,5,11,0,13
Alec Mills,CHC,2.75,36,152,5,11,7,42
Jack Flaherty,STL,2.75,196.1,772,25,55,7,231
Will Smith,SFG,2.76,65.1,257,10,21,0,96
Alex Colome,CHW,2.8,61,249,7,23,1,55
Nick Wittgren,CLE,2.81,57.2,231,10,15,0,60
Zac Gallen,- - -,2.81,80,334,8,36,4,96
Reyes Moronta,SFG,2.86,56.2,246,4,33,3,70
Sonny Gray,CIN,2.87,175.1,708,17,68,7,205
Jimmy Cordero,- - -,2.89,37.1,146,4,11,3,31
James Norwood,CHC,2.89,9.1,44,1,8,0,11
Tyler Clippard,CLE,2.9,62,241,8,15,7,64
Jason Adam,TOR,2.91,21.2,91,1,10,3,18
Michael Lorenzen,CIN,2.92,83.1,343,9,28,2,85
Max Scherzer,WSN,2.92,172.1,693,18,33,7,243
Tony Gonsolin,LAD,2.93,40,163,4,15,1,37
Hector Neris,PHI,2.93,67.2,275,10,24,6,89
Zack Greinke,- - -,2.93,208.2,810,21,30,4,187
Trevor May,MIN,2.94,64.1,266,8,26,3,79
Luke Weaver,ARI,2.94,64.1,260,6,14,3,69
Ryan Helsley,STL,2.95,36.2,153,5,12,0,32
Steve Cishek,CHC,2.95,64,267,7,29,7,57
Jandel Gustave,SFG,2.96,24.1,99,1,9,0,14
Hunter Wood,- - -,2.98,45.1,195,7,12,1,39
Ryan Buchter,OAK,2.98,45.1,198,8,23,2,50
Grant Dayton,ATL,3,12,51,4,4,0,14
Hernan Perez,MIL,3,3,11,1,2,0,1
Aaron Slegers,TBR,3,3,12,1,0,1,0
Jarlin Garcia,MIA,3.02,50.2,206,4,16,2,39
Clayton Kershaw,LAD,3.03,178.1,706,28,41,2,189
Michel Baez,SDP,3.03,29.2,131,3,14,3,28
Josh Taylor,BOS,3.04,47.1,194,5,16,2,62
Charlie Morton,TBR,3.05,194.2,790,15,57,12,240
Pedro Baez,LAD,3.1,69.2,276,6,23,4,69
David Hale,NYY,3.11,37.2,157,2,7,1,23
Tim Collins,CHC,3.12,8.2,38,1,3,0,4
Jordan Hicks,STL,3.14,28.2,110,2,11,1,31
Ranger Suarez,PHI,3.14,48.2,205,6,12,1,42
Sean Newcomb,ATL,3.16,68.1,293,8,29,3,65
Carlos Martinez,STL,3.17,48.1,200,2,18,3,53
A.J. Puk,OAK,3.18,11.1,47,1,5,0,13
Wei-Chieh Huang,TEX,3.18,5.2,32,0,5,1,2
Oliver Drake,TBR,3.21,56,219,9,19,1,70
Amir Garrett,CIN,3.21,56,246,7,35,4,78
Marcus Stroman,- - -,3.22,184.1,774,18,58,1,159
Cam Bedrosian,LAA,3.23,61.1,258,7,22,3,64
Cody Stashak,MIN,3.24,25,104,3,1,1,25
Patrick Corbin,WSN,3.25,202,835,24,70,3,238
Walker Buehler,LAD,3.26,182.1,737,20,37,7,215
Adam Kolarek,- - -,3.27,55,229,7,16,3,45
Shane Bieber,CLE,3.28,214.1,859,31,40,6,259
Craig Stammen,SDP,3.29,82,339,13,15,2,73
Brad Hand,CLE,3.3,57.1,242,6,18,4,84
Austin Voth,WSN,3.3,43.2,174,5,13,3,44
Stephen Strasburg,WSN,3.32,209,841,24,56,10,251
Sam Dyson,- - -,3.32,62.1,249,6,13,3,55
Nick Anderson,- - -,3.32,65,264,8,18,2,110
Chris Paddack,SDP,3.33,140.2,568,23,31,6,153
Dakota Hudson,STL,3.35,174.2,757,22,86,9,136
Jose Alvarez,PHI,3.36,59,255,8,18,1,51
Kyle Keller,MIA,3.37,10.2,46,3,8,2,11
Jake Petricka,MIL,3.38,8,36,0,6,0,3
Enderson Franco,SFG,3.38,5.1,20,1,1,0,4
Chris Martin,- - -,3.4,55.2,216,9,5,0,65
Luis Castillo,CIN,3.4,190.2,781,22,79,7,226
David Phelps,- - -,3.41,34.1,147,5,17,1,36
Diego Castillo,TBR,3.41,68.2,290,8,26,5,81
Ian Kennedy,KCR,3.41,63.1,266,6,17,1,73
Yoan Lopez,ARI,3.41,60.2,246,11,17,0,42
Lucas Giolito,CHW,3.41,176.2,705,24,57,4,228
Austin Brice,MIA,3.43,44.2,199,7,18,7,46
Sergio Romo,- - -,3.43,60.1,249,7,17,2,60
Kyle Hendricks,CHC,3.46,177,730,19,32,9,150
Francisco Liriano,PIT,3.47,70,301,8,35,3,63
Ross Stripling,LAD,3.47,90.2,370,11,20,2,93
Nate Jones,CHW,3.48,10.1,47,2,7,1,10
Gio Gonzalez,MIL,3.5,87.1,366,9,37,0,78
Jake Odorizzi,MIN,3.51,159,658,16,53,4,178
Archie Bradley,ARI,3.52,71.2,317,5,36,5,87
Jeff Samardzija,SFG,3.52,181.1,740,28,49,6,140
Nick Goody,CLE,3.54,40.2,173,7,22,0,50
Kyle Ryan,CHC,3.54,61,260,5,29,1,58
Junior Guerra,MIL,3.55,83.2,344,11,36,4,77
Zach Davies,MIL,3.55,159.2,672,20,51,2,102
Stefan Crichton,ARI,3.56,30.1,123,3,8,2,33
Anthony Bass,SEA,3.56,48,189,5,17,1,43
Alex Young,ARI,3.56,83.1,349,14,27,4,71
Sam Coonrod,SFG,3.58,27.2,114,3,15,4,20
J.B. Wendelken,OAK,3.58,32.2,131,2,9,2,34
Mike Minor,TEX,3.59,208.1,863,30,68,7,200
John Brebbia,STL,3.59,72.2,304,6,27,3,87
John Means,BAL,3.6,155,637,23,38,5,121
Harrison Musgrave,COL,3.6,10,47,0,7,0,12
Mark Melancon,- - -,3.61,67.1,284,4,18,2,68
Yimi Garcia,LAD,3.61,62.1,247,15,14,6,66
Brandon Woodruff,MIL,3.62,121.2,493,12,30,5,143
Tim Hill,KCR,3.63,39.2,161,4,13,4,39
Dustin May,LAD,3.63,34.2,141,2,5,4,32
Scott Alexander,LAD,3.63,17.1,76,2,7,1,9
Taylor Guilbeau,SEA,3.65,12.1,51,2,3,1,7
Tyler Kinley,MIA,3.65,49.1,221,5,36,1,46
Matt Bowman,CIN,3.66,32,137,2,13,0,25
John Gant,STL,3.66,66.1,269,4,34,0,60
Tommy Kahnle,NYY,3.67,61.1,248,9,20,2,88
Lance Lynn,TEX,3.67,208.1,875,21,59,8,246
Jose Berrios,MIN,3.68,200.1,842,26,51,9,195
Daniel Ponce de Leon,STL,3.7,48.2,203,6,26,2,52
Hector Rondon,HOU,3.71,60.2,257,10,20,4,48
Kenley Jansen,LAD,3.71,63,263,9,16,4,80
Adrian Houser,MIL,3.72,111.1,462,14,37,5,117
Richard Rodriguez,PIT,3.72,65.1,285,14,23,2,63
Josh Staumont,KCR,3.72,19.1,88,4,10,1,15
Brian Schlitter,OAK,3.72,9.2,41,0,4,0,6
Buck Farmer,DET,3.72,67.2,288,8,24,5,73
Josh Tomlin,ATL,3.74,79.1,320,14,7,0,51
Carlos Estevez,COL,3.75,72,308,12,23,1,81
Dallas Keuchel,ATL,3.75,112.2,487,16,39,9,91
Tyler Chatwood,CHC,3.76,76.2,324,8,37,5,74
Robert Stephenson,CIN,3.76,64.2,262,9,24,0,81
Andrew Chafin,ARI,3.76,52.2,225,6,18,2,68
Tyler Webb,STL,3.76,55,221,7,23,2,48
Jake Newberry,KCR,3.77,31,137,7,16,1,29
Wei-Chung Wang,- - -,3.77,31,129,4,14,1,18
Matt Barnes,BOS,3.78,64.1,285,8,38,2,110
J.D. Hammer,PHI,3.79,19,81,2,12,0,13
Eduardo Rodriguez,BOS,3.81,203.1,859,24,75,7,213
Marcus Walden,BOS,3.81,78,327,6,32,5,76
A.J. Cole,CLE,3.81,26,118,4,8,0,30
Ryne Harper,MIN,3.81,54.1,225,7,10,1,50
Cole Hamels,CHC,3.81,141.2,617,17,56,7,143
Chris Bassitt,OAK,3.81,144,612,21,47,13,141
Zach Plesac,CLE,3.81,115.2,475,19,40,3,88
Julio Teheran,ATL,3.81,174.2,754,22,83,14,162
James Paxton,NYY,3.82,150.2,633,23,55,2,186
Luke Jackson,ATL,3.84,72.2,315,10,26,2,106
Jon Gray,COL,3.84,150,637,19,56,4,150
Yonny Chirinos,TBR,3.85,133.1,530,23,28,3,114
Anibal Sanchez,WSN,3.85,166,712,22,58,4,134
Travis Lakins,BOS,3.86,23.1,102,1,10,1,18
Jose Osuna,PIT,3.86,2.1,9,1,0,0,0
Victor Arano,PHI,3.86,4.2,16,1,2,0,7
Heath Hembree,BOS,3.86,39.2,173,7,18,3,46
Devin Smeltzer,MIN,3.86,49,202,8,12,1,38
Justin Shafer,TOR,3.86,39.2,182,6,25,1,39
John Curtiss,LAA,3.86,2.1,12,0,3,0,1
Aaron Nola,PHI,3.87,202.1,852,27,80,11,229
