Name,Team,xERA,FIP,xFIP
Gerrit Cole,HOU,2.44,2.64,2.48
Jacob deGrom,NYM,2.59,2.67,3.11
Lance Lynn,TEX,3.38,3.13,3.85
Max Scherzer,WSN,2.83,2.45,2.88
Justin Verlander,HOU,2.5,3.27,3.18
Charlie Morton,TBR,3.3,2.81,3.28
Stephen Strasburg,WSN,3.08,3.25,3.17
Shane Bieber,CLE,3.64,3.32,3.23
Zack Greinke,- - -,3.45,3.22,3.74
Lucas Giolito,CHW,3.45,3.43,3.66
Walker Buehler,LAD,3.33,3.01,3.37
Hyun-Jin Ryu,LAD,3.4,3.1,3.32
Patrick Corbin,WSN,4.05,3.49,3.59
Jack Flaherty,STL,3.35,3.46,3.64
Zack Wheeler,NYM,3.91,3.48,4.06
Mike Clevinger,CLE,3.15,2.49,3.09
Sonny Gray,CIN,3.4,3.42,3.65
Jose Berrios,MIN,4.08,3.85,4.32
Noah Syndergaard,NYM,3.4,3.6,3.83
Jake Odorizzi,MIN,4,3.36,4.33
Luis Castillo,CIN,3.3,3.7,3.48
Mike Minor,TEX,3.91,4.25,4.6
Kyle Hendricks,CHC,3.69,3.61,4.26
Mike Soroka,ATL,4.03,3.45,3.85
Marcus Stroman,- - -,3.69,3.72,3.99
Liam Hendriks,OAK,2.26,1.87,3.21
Eduardo Rodriguez,BOS,3.61,3.86,4.1
Marco Gonzales,SEA,4.05,4.15,5.11
Chris Sale,BOS,3.45,3.39,2.93
Clayton Kershaw,LAD,3.35,3.86,3.5
Jose Quintana,CHC,4.47,3.8,4.2
James Paxton,NYY,3.75,3.86,4.03
Aaron Nola,PHI,4.26,4.03,3.82
Kirby Yates,SDP,2.19,1.3,2.25
German Marquez,COL,4.73,4.06,3.54
Joe Musgrove,PIT,4.17,3.82,4.31
Madison Bumgarner,SFG,4.54,3.9,4.31
Brandon Woodruff,MIL,3.51,3.01,3.36
Trevor Bauer,- - -,4.26,4.34,4.33
Masahiro Tanaka,NYY,4.29,4.27,4.29
Matthew Boyd,DET,3.69,4.32,3.88
John Means,BAL,4.03,4.41,5.48
Max Fried,ATL,3.8,3.72,3.32
Frankie Montas,OAK,3.48,3,3.47
Homer Bailey,- - -,4.32,4.11,4.43
Jon Gray,COL,4.86,4.06,3.89
Spencer Turnbull,DET,4.83,3.99,4.63
Jon Lester,CHC,5.03,4.26,4.35
Blake Snell,TBR,3.06,3.32,3.31
Kenta Maeda,LAD,3.28,3.95,4.04
Ryan Yarbrough,TBR,3.64,3.55,4.24
Michael Pineda,MIN,4.11,4.02,4.3
Dylan Bundy,BAL,4.23,4.73,4.58
Yu Darvish,CHC,3.88,4.18,3.39
Anthony DeSclafani,CIN,3.75,4.43,4.3
Kyle Gibson,MIN,4.99,4.26,3.8
Cole Hamels,CHC,4.57,4.09,4.38
Miles Mikolas,STL,4.51,4.27,4.18
Chris Paddack,SDP,3.43,3.95,4.05
Anibal Sanchez,WSN,4.26,4.44,5.1
Reynaldo Lopez,CHW,5.2,5.04,5.27
Robbie Ray,ARI,4.6,4.29,3.76
David Price,BOS,4.26,3.62,3.73
Sandy Alcantara,MIA,4.6,4.55,5.17
Tyler Glasnow,TBR,2.3,2.26,2.94
Josh Hader,MIL,2.28,3.1,2.36
Eric Lauer,SDP,4.32,4.23,4.77
Seth Lugo,NYM,2.46,2.7,3.24
Brad Keller,KCR,4.83,4.35,4.94
Brandon Workman,BOS,2.92,2.46,3.33
Felipe Vazquez,PIT,2.99,2.15,2.62
Taylor Rogers,MIN,2.32,2.85,2.84
Ivan Nova,CHW,5.6,4.98,4.91
Chris Bassitt,OAK,3.91,4.4,4.61
Joey Lucchesi,SDP,3.8,4.17,4.36
Aroldis Chapman,NYY,2.92,2.28,2.86
Adam Wainwright,STL,4.63,4.36,4.39
Nick Anderson,- - -,2.94,2.35,2.44
Tanner Roark,- - -,4.96,4.67,4.64
Wade Miley,HOU,3.83,4.51,4.52
Brett Anderson,OAK,5.45,4.57,4.79
Merrill Kelly,ARI,5.38,4.51,4.58
Domingo German,NYY,4.44,4.72,4.22
Trent Thornton,TOR,4.86,4.59,4.94
